protein_annotation	regex_label	manual_label	label_id
Type III restriction enzyme res subunit	proper	proper	2
(P)ppGpp synthetase I, SpoT/RelA	proper	proper	2
6-phosphofructo-2-kinase-domain-containing protein	proper	proper	2
Large terminase protein	proper	proper	2
Enoyl-CoA hydratase domain-containing protein 3, mitochondrial	proper	proper	2
DNA packaging protein of prophage (Terminase large subunit)	proper	proper	2
4-hydroxybenzoate polyprenyltransferase, mitochondrial	proper	proper	2
Predicted phosphoesterase or phosphohydrolase	proper	proper	2
Adhesin yadA	proper	proper	2
Uncharacterized protein DUF955	low informative	low	1
Predicted chitinase	proper	proper	2
Highly reducing polyketide synthase gpy1	proper	proper	2
SAT1	proper	proper	2
Phage major capsid E family protein	proper	proper	2
RVP domain-containing protein	proper	proper	2
Biotin operon repressor	proper	proper	2
Polymerase III, delta'' subunit protein	proper	proper	2
Kelch like family member 32	proper	proper	2
Butyrophilin subfamily 1 member A1-like isoform X1	proper	proper	2
ANXA8 protein	proper	proper	2
Beta-lactamase domain-containing protein	proper	proper	2
Probable phage HK022 GP19-related protein	proper	uninformative	0
Trans-sialidase, putative	proper	proper	2
MS115 putative beta-agarase	proper	proper	2
Prok-JAB and NLPC P60 and Lambda tail I and Phage tail L and Phage min tail domain containing protein	proper	proper	2
Nucleoside-diphosphate sugar epimerase	proper	proper	2
Putative Acyl-homoserine lactone acylase PvdQ	proper	proper	2
5'-3' exonuclease (Including N-terminal domain of PolI)	proper	proper	2
Thymidine kinase 2, mitochondrial-like	proper	proper	2
RNA ligase/cyclic nucleotide phosphodiesterase family protein	proper	proper	2
Conjugal exonuclease V alpha subunit TraA	proper	proper	2
SNF2 N and Helicase C domain containing protein	proper	proper	2
DgyrCDS7900	proper	uninformative	0
Integrating conjugative element protein	proper	proper	2
Primase-polymerase (Primpol) domain-containing protein	proper	proper	2
Prophage pi2 protein	proper	proper	2
LvrA	proper	proper	2
Vitamin B12-dependent ribonucleoside-diphosphate reductase	proper	proper	2
Phage T4 tail fiber protein	proper	proper	2
(Uracil-5)-methyltransferase	proper	proper	2
D12 class N6 adenine-specific DNA methyltransferase superfamily	proper	proper	2
Bacterial type II/III secretion system protein	proper	proper	2
TRCF domain protein	proper	proper	2
Expressed protein	uninformative	uninformative	0
Arabinanase	proper	proper	2
aspartyl/asparaginyl beta-hydroxylase isoform X5	proper	proper	2
Glutathione synthetase	proper	proper	2
Bifunctional ATP-dependent DNA helicase/DNA polymerase III subunit epsilon	proper	proper	2
Type IV pilus secretin PilQ family protein	proper	proper	2
uncharacterized protein LOC117654103	uninformative	uninformative	0
YetN	proper	proper	2
UDP-N-acetylglucosamine kinase	proper	proper	2
Chaperonin CPN60-like 2	proper	proper	2
Uncharacterized protein YoxC	uninformative	uninformative	0
Probable amidotransferase	proper	proper	2
TPR domain protein	proper	proper	2
Diguanylate cyclase (GGDEF) domain-containing protein	proper	proper	2
Conserved hypothetical phage tail region protein	proper	proper	2
signaling lymphocytic activation molecule isoform X2	proper	proper	2
Putative type I polyketide synthase	proper	proper	2
Glycine oxidase	proper	proper	2
O-acetyl-ADP-ribose deacetylase 1	proper	proper	2
Stringent starvation protein B-like protein	proper	proper	2
B box-type domain-containing protein	proper	proper	2
DNA-binding transcriptional regulator YdaS (Cro superfamily)	proper	proper	2
5'-deoxynucleotidase SCTVLC_2658	proper	proper	2
Putative phage baseplate protein	proper	proper	2
AraC-type DNA-binding domain-containing protein	proper	proper	2
tRNA-specific adenosine deaminase (Modular protein)	proper	proper	2
SleB-like protein	proper	proper	2
BNR repeat-containing glycosyl hydrolase	proper	proper	2
Marine proteobacterial sortase target protein	proper	proper	2
DNRLRE domain-containing protein	proper	low	1
O-acetyl-ADP-ribose deacetylase MACROD1-like	proper	proper	2
Baseplate hub subunit	proper	proper	2
Putative GP46 protein	uninformative	uninformative	0
DNA damage-inducible protein (Modular protein)	proper	proper	2
DUF4041 domain-containing protein	low informative	low	1
Zmp:0000000619	proper	uninformative	0
Chaperone BCS1	proper	proper	2
N-acetylglutamate synthase, GNAT family	proper	proper	2
Putative polyketide synthase protein	proper	proper	2
Probable replicative DNA helicase	proper	proper	2
DUF3164 family protein	low informative	low	1
AraC family regulatory protein	proper	proper	2
tRNA-dihydrouridine synthase B	proper	proper	2
Mu-like prophage FluMu protein	proper	uninformative	0
HSP20 family	proper	proper	2
Holliday junction resolvase (Hjc)	proper	proper	2
Cox2	proper	proper	2
Eliminase	proper	proper	2
SepS25B protein	proper	uninformative	0
ABC transporter substrate-binding lipoprotein YvgL (Modular protein)	proper	proper	2
Glyco_hydro_42M domain-containing protein	proper	proper	2
Phage minor capsid 2 family protein	proper	proper	2
Phage minor structural protein, N-terminal domain protein	proper	proper	2
Nudix hydrolase 23, chloroplastic	proper	proper	2
Putative Phage anti-repressor protein	proper	proper	2
procollagen-lysine,2-oxoglutarate 5-dioxygenase 3-like	proper	proper	2
DNA topoisomerase (ATP-hydrolyzing) subunit B	proper	proper	2
SL9A3 protein	proper	proper	2
Intraflagellar transport protein 25	proper	proper	2
Histone_H2A_C domain-containing protein	proper	proper	2
Phosphatidylinositol N-acetylglucosaminyltransferase subunit A, putative	proper	proper	2
Phosphoinositide 3-kinase adapter protein 1	proper	proper	2
Non-ribosomal peptide synthetase modules	proper	proper	2
Amidophosphoribosyltransferase, amidophosphoribosyltransferase	proper	proper	2
Putative transposase/integrase	proper	proper	2
Transcription elongation factor SPT5	proper	proper	2
Flagellar-associated_PapD-like_-_putative	proper	proper	2
NAD-dependent epimerase/dehydratase family protein	proper	proper	2
PUTATIVE HEMAGGLUTININ-RELATED PROTEIN	proper	proper	2
Putative prophage PSSB64-02, tail length tape-measure protein	proper	proper	2
GNAT N-acetyltransferase	proper	proper	2
DNA polymerase I-like	proper	proper	2
AAA domain containing protein	proper	proper	2
O-methyltransferase	proper	proper	2
Tail length determinator	proper	proper	2
DNA gyrase/topoisomerase IV, A subunit	proper	proper	2
ADO2 protein	proper	proper	2
DUF2590 family protein	low informative	low	1
Gut Q protein	proper	proper	2
Protein of unassigned function	proper	uninformative	0
Putative Xre family DNA-binding protein	proper	proper	2
Ribonucleoside-triphosphate reductase	proper	proper	2
Putative long tail fiber protein	proper	proper	2
Gll3885 protein	proper	uninformative	0
Prophage antirepressor (Plasmid)	proper	proper	2
Threonine dehydrogenase-like Zn-dependent dehydrogenase	proper	proper	2
AraC-like protein	proper	proper	2
Phage tail sheath protein fi-like protein	proper	proper	2
Regulatory protein, LacI	proper	proper	2
Putative bacteriophage integrase	proper	proper	2
BRO family, N-terminal domain	proper	proper	2
Bacteriophage Mu I family protein	proper	uninformative	0
Putative prophage PSSB64-02, Orf47	proper	uninformative	0
DNA segregation ATPase FtsK/SpoIIIE-like protein	proper	proper	2
Protein phosphatase 2A A subunit (ISS)	proper	proper	2
Short chain dehydrogenase family protein	proper	proper	2
Tellurite resistance protein TerA	proper	proper	2
RNA polymerase sigma-E factor	proper	proper	2
Stomatin like 2	proper	proper	2
CI family repressor	proper	proper	2
Fused protease/ribonucleoside-triphosphate reductase	proper	proper	2
Glycerophosphodiester phosphodiesterase	proper	proper	2
Kelch-like family member 2	proper	proper	2
Peptidylprolyl isomerase	proper	proper	2
Putative outer membrane repeat protein	proper	proper	2
LINOCIN M18	proper	low	1
Uncharacterized protein C20orf72	uninformative	uninformative	0
uncharacterized protein LOC111285158 isoform X1	proper	uninformative	0
DNA helicase DnaB	proper	proper	2
Uncharacterized protein YqbE	uninformative	uninformative	0
Mu-like prophage FluMu protein gp28-like protein	proper	uninformative	0
Putative ribonuclease H protein	proper	proper	2
DNA helicase B isoform X2	proper	proper	2
Putative Phosphopantothenate--cysteine ligase	proper	proper	2
YLP motif-containing protein 1-like isoform X2	proper	proper	2
Deoxypyrimidine-specific 5' nucleotidase type C protein (NT5C)	proper	proper	2
Origin specific replication initiation factor	proper	proper	2
LysR substrate binding domain-containing protein	proper	proper	2
Tip elongation aberrant 1-like protein	proper	proper	2
Lasso peptide isopeptide bond-forming cyclase	proper	proper	2
Putative phage tail protein	proper	proper	2
Protein, SNF2 family	proper	proper	2
8-demethylnovobiocic acid C(8)-methyltransferase	proper	proper	2
DUF4983 domain-containing protein	low informative	low	1
Phage tail sheath protein	proper	proper	2
Prokaryotic homologs of the JAB domain	proper	proper	2
Biotin carboxylase	proper	proper	2
Nitrile-specifier protein 5	proper	proper	2
Pre-B-cell colony-enhancing factor-like protein	proper	proper	2
YceE	proper	uninformative	0
F264	proper	uninformative	0
Orf245	uninformative	uninformative	0
Vegetative incompatibility protein HET-E-1	proper	proper	2
CO6A3	proper	uninformative	0
kelch repeat and BTB domain-containing protein 7-like	proper	proper	2
Protein LvrA	proper	proper	2
OMPdecase	proper	proper	2
Putative phage head-tail adaptor	proper	proper	2
Uncharacterized HTH-type transcriptional regulator CBU_1416	proper	proper	2
L-methionine sulfoximine/L-methionine sulfone acetyltransferase	proper	proper	2
uncharacterized protein LOC116300872	uninformative	uninformative	0
USPA2H	proper	proper	2
Chromosome undetermined SCAF10748, whole genome shotgun sequence	uninformative	uninformative	0
Putative kelch motif family protein	proper	proper	2
Tail fiber domain-containing protein	proper	proper	2
PF11985 family protein	proper	low	1
Protease subunit of atp-dependent clp protease	proper	proper	2
3'-5' exonuclease domain-containing protein	proper	proper	2
Sodium/hydrogen exchanger NHE2	proper	proper	2
Putative bacteriophage protein GP46(Fragment)	proper	uninformative	0
DNA polymerase III alpha subunit (Gram-positive type)	proper	proper	2
uncharacterized protein LOC104607806 isoform X3	proper	uninformative	0
ATP synthase protein MI25	proper	proper	2
Cell-adhesion protein	proper	proper	2
Phosphopantothenate--cysteine ligase	proper	proper	2
Probable lipase/esterase	proper	proper	2
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like 1	proper	proper	2
VIT-domain-containing protein	proper	proper	2
PRFB1 protein	proper	proper	2
Phage terminase-like protein, large subunit, contains N-terminal HTH domain	proper	proper	2
Syntaxin-binding protein 4	proper	proper	2
SsDNA-binding Zn-finger/Zn-ribbon topoisomerase 1	proper	proper	2
dTDP-L-rhamnose 4-epimerase	proper	proper	2
Sodium/hydrogen exchanger 7	proper	proper	2
Proline dehydrogenase	proper	proper	2
Peptidase, M23B family	proper	proper	2
Kelch repeat and BTB domain-containing protein 2-like	proper	proper	2
dUTP diphosphatase Dut, putative	proper	proper	2
DnaJ subfamily B member 13	proper	proper	2
DDE_Tnp_1 domain-containing protein	proper	proper	2
NPK1-related protein kinase	proper	proper	2
Ribonuclease R winged-helix domain-containing protein	proper	proper	2
Prepilin-type cleavage/methylation domain-containing protein	proper	proper	2
Protein CHROMATIN REMODELING 20	proper	proper	2
Flap endonuclease Xni	proper	proper	2
ASPHD2 protein	proper	proper	2
Head morphogenesis protein SPP1 gp7	proper	proper	2
Gamma-glutamyl-aminobutyrate hydrolase PuuD	proper	proper	2
GroL1 protein	proper	proper	2
Transcription factor Sp4	proper	proper	2
Similar to aspartate beta-hydroxylase isoform a	proper	proper	2
DprA/Smf-like protein	proper	proper	2
Putative phage repressor protein CI	proper	proper	2
Asparagine synthetase glutamine-hydrolyzing	proper	proper	2
Enterobacterial exodeoxyribonuclease VIII	proper	proper	2
PGF-pre-PGF domain-containing protein	proper	proper	2
dCMP deaminase (EC)	proper	proper	2
Bm4944, isoform a	proper	proper	2
Transcriptional regulator kdgR	proper	proper	2
Alkyl sulfatase BDS1-like metallo-beta-lactamase superfamily hydrolase	proper	proper	2
Bacteriophage, scaffolding protein	proper	proper	2
NADH:ubiquinone oxidoreductase subunit L	proper	proper	2
Putative benzyl alcohol dehydrogenase	proper	proper	2
MannoseP_isomer domain-containing protein	proper	proper	2
MarR family transcriptional regulator with acetyltransferase activity	proper	proper	2
Prophage PSPPH03, transcriptional regulator, LuxR family	proper	proper	2
Glycosyltransferase, family 11	proper	proper	2
ATP-dependent exoDNAse alpha subunit	proper	proper	2
Arabinose 5-phosphate isomerase KpsF	proper	proper	2
SIS domain protein	proper	proper	2
Putative gag-pol polyprotein	proper	proper	2
Fibronectin type III protein	proper	proper	2
Acetyltransferase	proper	proper	2
Acyl-CoA thioesterase 1	proper	proper	2
DNA polymerase III PolC	proper	proper	2
Exonuclease rnase t and dna polymerase iii	proper	proper	2
Molecular chaperones (DnaJ family)	proper	proper	2
Cell wall/surface repeat-containing protein	proper	low	1
DUF1902 domain-containing protein	low informative	low	1
Tellurite resistance domain protein	proper	proper	2
Putative surface protein	proper	low	1
Eaa prophage protein	proper	uninformative	0
Citrate-binding protein	proper	proper	2
DnaJ-class molecular chaperone CbpA	proper	proper	2
Sterol-4-alpha-carboxylate 3-dehydrogenase	proper	proper	2
RNA/single-stranded DNA exonuclease	proper	proper	2
Smg protein	proper	proper	2
Protein YdcL	proper	proper	2
Flagellin and related hook-associated protein	proper	proper	2
Highly reducing polyketide synthase	proper	proper	2
Putative kelch-like protein 12	proper	proper	2
T-complex protein 1 subunit zeta-2 isoform X4	proper	proper	2
Phage tail fiber protein H	proper	proper	2
Uncharacterized protein DUF2272	low informative	low	1
NB-ARC domain containing protein expressed	proper	proper	2
uncharacterized protein LOC113791557	uninformative	uninformative	0
Putative peptidoglycan binding domain 1	proper	proper	2
Kelch-like protein 26 isoform A	proper	proper	2
Putative zinc finger CHC2-family protein	proper	proper	2
Glutamine amidotransferase	proper	proper	2
Putative tail lysozyme	proper	proper	2
Glutamine--fructose-6-phosphate aminotransferase (Isomerizing)	proper	proper	2
GNAT-family acetyltransferase (TIGR03103 family)	proper	proper	2
Putative phage protein Rz	proper	proper	2
BRO family, N-terminal domain protein	proper	proper	2
gigaxonin isoform X3	proper	proper	2
PF03681 family protein	proper	low	1
Putative translation releasing factor2	proper	proper	2
Estrogen-related receptor gamma	proper	proper	2
CDAC1 protein	proper	proper	2
AIG2 Family Protein	proper	proper	2
DnaB domain-containing protein helicase domain-containing protein	proper	proper	2
peptide chain release factor PrfB1, chloroplastic isoform X2	proper	proper	2
YadA-like family protein	proper	proper	2
Putative HTH-type transcriptional regulator	proper	proper	2
Collagen triple helix repeat protein (20 copies)	proper	proper	2
DNA polymerase family A	proper	proper	2
GH15113	proper	uninformative	0
XkdG	proper	proper	2
Phage terminase, small subunit, putative, P27	proper	proper	2
Pilus assembly protein FimT	proper	proper	2
26S proteasome regulatory subunit 7	proper	proper	2
SLAM family member 9-like isoform X1	proper	proper	2
T6SS_Vgr domain-containing protein	proper	proper	2
Dna polymerase a family protein	proper	proper	2
Reductase	proper	proper	2
Receptor-type tyrosine-protein phosphatase eta	proper	proper	2
Prophage antirepressor domain protein	proper	proper	2
Fibro-slime domain-containing protein	proper	proper	2
BACK domain-containing protein	proper	proper	2
SNF2 family N-domain-containing protein	proper	proper	2
TOP2A topoisomerase	proper	proper	2
Ig-like_bact domain-containing protein	proper	proper	2
Phage Head-Tail Attachment	proper	proper	2
Uridine diphosphate glucose pyrophosphatase NUDT22	proper	proper	2
Toxin-antitoxin system, HicB family	proper	proper	2
Uncharacterized protein DUF2190	low informative	low	1
D-alanyl-D-alanine carboxypeptidase family protein	proper	proper	2
Nitric oxide reductase NorQ protein	proper	proper	2
Putative conserved NADP-binding domain-containing protein	proper	proper	2
IPP	proper	proper	2
Bifunctional S24 family peptidase / transcriptional regulator	proper	proper	2
ATPases of the AAA+ class	proper	proper	2
Thioredoxin M-type, chloroplastic	proper	proper	2
MazG family protein	proper	proper	2
GIY-YIG/LAGLIDADG endonuclease	proper	proper	2
T3/T7 RNA polymerase	proper	proper	2
Helicase C-terminal domain protein	proper	proper	2
Nicotinate-nucleotide pyrophosphorylase	proper	proper	2
Large terminase subunit	proper	proper	2
Toxin-antitoxin system, toxin component, Fic family	proper	proper	2
Macro domain-containing protein lp_3408	proper	proper	2
Protein kinase family protein	proper	proper	2
UvrD-helicase domain-containing protein	proper	proper	2
Phage-related prohead protease	proper	proper	2
Phage side tail fiber protein	proper	proper	2
Putative plasmid partitioning protein ParB	proper	proper	2
Thioredoxin O1, mitochondrial	proper	proper	2
DNA polymerase III subunit	proper	proper	2
Putative mitochondrial ATP-dependent helicase irc3	proper	proper	2
Type-1 restriction enzyme R protein	proper	proper	2
ATP-dependent DNA helicase RecG	proper	proper	2
Putative endopeptidase (Protein gp15)	proper	proper	2
P2 family phage major capsid protein	proper	proper	2
TIGR04338 family metallohydrolase	proper	proper	2
D-glucuronyl c5-epimerase	proper	proper	2
DUF4055 domain-containing protein	low informative	low	1
Prophage tail fiber assembly protein homolog TfaE	proper	proper	2
DnaJ-like protein subfamily B member 6-A	proper	proper	2
Putative nuclear receptor 2c2 associated protein	proper	proper	2
probable peptide chain release factor C12orf65 homolog, mitochondrial	proper	proper	2
Integrin-associated protein	proper	proper	2
Influenza virus NS1A-binding homolog	proper	proper	2
Putative peptidase, S24-like	proper	proper	2
5' nucleotidase, deoxy (Pyrimidine), cytosolic type C protein	proper	proper	2
5'-deoxynucleotidase YfbR-like HD superfamily hydrolase	proper	proper	2
Protein containing C-5 cytosine-specific DNA methylase	proper	proper	2
Carboxypeptidase-like regulatory domain-containing protein	proper	proper	2
Phage P4-associated integrase	proper	proper	2
Phage terminase, large subunit, PBSX family	proper	proper	2
CLP protease regulatory subunit CLPX3, mitochondrial	proper	proper	2
Glucose-6-phosphate 3-dehydrogenase	proper	proper	2
Uncharacterized protein containing a von Willebrand factor type A (VWA) domain	proper	proper	2
Nudix hydrolase 15	proper	proper	2
Poly(ADP-ribose) polymerase family member 9	proper	proper	2
Anaerobic ribonucleoside-triphosphate reductase	proper	proper	2
Paraaminobenzoate synthase amidotransferase component EC 26185 CDS	proper	proper	2
collagen alpha-1(VII) chain	proper	proper	2
Deaminase reductase	proper	proper	2
Acetyltransferase GNAT family	proper	proper	2
Probable thermophilic glucose-6-phosphate isomerase and related metalloenzymes	proper	proper	2
AAA_5 domain-containing protein	proper	proper	2
Aspartate beta-hydroxylase domain-containing 1	proper	proper	2
Single-stranded DNA-binding protein 2	proper	proper	2
Diguanylate cyclase (GGDEF) domain protein	proper	proper	2
NUDIX hydrolase, MutT family	proper	proper	2
DNA (Cytosine-5)-methyltransferase 3B-like	proper	proper	2
FtsK-like protein	proper	proper	2
Unplaced genomic scaffold SPHSTscaffold_416, whole genome shotgun sequence	uninformative	uninformative	0
Erlin-2	proper	proper	2
Baseplate J/gp47 family protein	proper	proper	2
Phage virion morphoproteinis protein	proper	proper	2
Acyl-CoA thioesterase	proper	proper	2
Serine/threonine protein kinase PrkC, regulator of stationary phase	proper	proper	2
Nudix-type nucleoside diphosphatase (YffH/AdpP family)	proper	proper	2
Phage protein Gp46	uninformative	uninformative	0
BTB/POZ domain-containing protein kctd3	proper	proper	2
Mu Lambda phage repressor-like DNA binding protein	proper	proper	2
Superfamily II DNA or RNA helicase	proper	proper	2
Double-stranded uracil-DNA glycosylase	proper	proper	2
cDNA FLJ52974, highly similar to Neural cell adhesion molecule 1, 140 kDa isoform	proper	proper	2
Putative cell surface glycoprotein	proper	proper	2
Pectin degradation repressor protein KdgR	proper	proper	2
Protein phosphatase	proper	proper	2
Protein containing DUF1064	low informative	low	1
Sarcosine oxidase delta subunit	proper	proper	2
LPS biosynthesis protein WbpP	proper	proper	2
Cell cycle checkpoint control protein RAD9B-like	proper	proper	2
Tat pathway signal sequence domain protein	proper	proper	2
Predicted double-stranded RNA/RNA-DNA hybrid binding protein	proper	proper	2
kelch domain-containing protein 1-like	proper	proper	2
Clpp/crotonase-like domain	proper	proper	2
uncharacterized protein LOC108824702	uninformative	uninformative	0
Cytochrome oxidase subunit II	proper	proper	2
Putative metallopeptidase	proper	proper	2
AP2/ERF domain-containing protein	proper	proper	2
16.9 kDa class I heat shock protein 2	proper	proper	2
DNA replication protein DnaC, putative	proper	proper	2
NTTRR-F1 domain	proper	proper	2
Phage control protein (GPD)	proper	proper	2
Glycogen debranching protein	proper	proper	2
Putative DNA primase	proper	proper	2
Ribonuclease h protein	proper	proper	2
Peptide chain release factor PrfB1, chloroplastic	proper	proper	2
Type II secretion system secretin GspD	proper	proper	2
YPR024Wp-like protein	proper	uninformative	0
Conserved Uncharacterized	uninformative	uninformative	0
Methyltransferase type 12	proper	proper	2
Phage DNA-binding protein Ner	proper	proper	2
Head morphoproteinis protein SPP1 gp7	proper	proper	2
Rubredoxin-NAD(+) reductase	proper	proper	2
CbbQ	proper	proper	2
Alginate O-acetylation protein AlgJ	proper	proper	2
Putative serine/threonine protein phosphatase	proper	proper	2
GRANULINS domain-containing protein	proper	proper	2
Predicted 2-oxoglutarate-and Fe(II)-dependent dioxygenase YbiX	proper	proper	2
Acyl-CoA thioesterase-1	proper	proper	2
Uncharacterized protein P8A3.02c	proper	uninformative	0
Chaperone (AssE2)	proper	proper	2
General secretion pathway protein GspH	proper	proper	2
Prophage terminase, small subunit	proper	proper	2
Mor transcription activator family	proper	proper	2
Pseudoephedrine dehydrogenase	proper	proper	2
Putative Phage replication protein	proper	proper	2
Apoptosis-inducing factor, C-term	proper	proper	2
Ribosylnicotinamide kinase	proper	proper	2
Assembly protein	proper	proper	2
Capsular Polysaccharide Biosynthesis Protein	proper	proper	2
rab9 effector protein with kelch motifs isoform X6	proper	proper	2
Si:ch211-253p14.2	proper	uninformative	0
Putative bifunctional dihydrofolate reductase-thymidylate synthase	proper	proper	2
Peptide chain release factor PrfB2	proper	proper	2
Phosphoribosylaminoimidazolesuccinocarboxamide synthase	proper	proper	2
Gp7	uninformative	uninformative	0
Mannose-1-phosphate guanylyltransferase 1	proper	proper	2
Glucose-fructose oxidoreductase	proper	proper	2
SprT protein	proper	proper	2
Putative GIY-YIG endonuclease	proper	proper	2
Molecular chaperone	proper	proper	2
Mannose-1-phosphate guanylyltransferase rfbM	proper	proper	2
Pyridine nucleotide-disulphide oxidoreductase	proper	proper	2
Phosphonoacetaldehyde hydrolase	proper	proper	2
Phospholipid-binding domain-containing protein	proper	proper	2
Phage P22-like portal protein	proper	proper	2
Phage tail fiber domain protein	proper	proper	2
Formylmethanofuran dehydrogenase subunit E	proper	proper	2
DNA repair ATPase	proper	proper	2
Protein export-enhancing protease (Spore outgrowth)	proper	proper	2
TRAP transporter solute receptor	proper	proper	2
Ion transporter permease	proper	proper	2
2-oxoglutarate and iron-dependent oxygenase domain-containing protein 2 isoform X2	proper	proper	2
Putative transcription elongation factor SPT5 like protein	proper	proper	2
Putative Regulatory protein IclR	proper	proper	2
Putative phage late control gene D protein	proper	proper	2
DNA recombination and repair protein	proper	proper	2
Tail assembly protein	proper	proper	2
RNB domain-containing protein	proper	proper	2
Phage portal protein BeeE	proper	proper	2
DNA (Cytosine-5-)-methyltransferase	proper	proper	2
F-box/kelch-repeat protein At5g60570-like	proper	proper	2
Regulator of Chromosome Condensation (RCC1) repeat protein	proper	proper	2
KLH24	proper	proper	2
PVL ORF-50 family protein	proper	uninformative	0
Putative isomerase	proper	proper	2
Urea carboxylase	proper	proper	2
Interleukin 10 receptor, beta (Predicted)	proper	proper	2
Muscarinic acetylcholine receptor M4	proper	proper	2
Acyl-CoA binding protein 5	proper	proper	2
uncharacterized protein LOC108807682	uninformative	uninformative	0
HTH-type transcriptional regulator CynR	proper	proper	2
6-carboxy-5,6,7,8-tetrahydropterin synthase	proper	proper	2
Sulfotransferase domain-containing protein	proper	proper	2
Putative mu-like prophage Flumu protein gp28	proper	proper	2
calcium-activated chloride channel regulator 3A-1-like	proper	proper	2
RNase H domain-containing protein	proper	proper	2
tRNA (Cytosine(38)-C(5))-methyltransferase-like	proper	proper	2
uncharacterized protein LOC108838918	uninformative	uninformative	0
Rubisco activation protein CbbQ	proper	proper	2
Holliday junction resolvase hjc	proper	proper	2
Tubulin alpha-8 chain	proper	proper	2
Putative Asparagine synthetase (Glutamine-hydrolyzing) 1	proper	proper	2
Saccharopine dehydrogenase	proper	proper	2
Lipolytic enzyme G-D-S-L family	proper	proper	2
dTDP-fucosamine acetyltransferase	proper	proper	2
UvrABC complex, subunit B	proper	proper	2
GSH-S_ATP domain-containing protein	proper	proper	2
Chaperone protein DnaJ, putative	proper	proper	2
Putative acid phosphatase of HAD superfamily subfamily IIIB	proper	proper	2
Phage-associated protein-like protein	proper	uninformative	0
CI-like repressor, phage associated	proper	proper	2
Gp47 protein	uninformative	uninformative	0
Putative N-acetyltransferase YuaI	proper	proper	2
Putative hydrolase	proper	proper	2
Putative prophage PSSB64-02, Orf63	proper	uninformative	0
MaoC family protein	proper	proper	2
LamG domain protein jellyroll fold domain protein	proper	proper	2
HaeIIM protein	proper	proper	2
S23 ribosomal protein	proper	proper	2
DgyrCDS11747	proper	uninformative	0
ErfK/YbiS/YcfS/YnhG	proper	proper	2
Phage-like element PBSX protein XkdB	proper	proper	2
Phosphoesterase (MutT family)-like protein	proper	proper	2
Stomatin family protein	proper	proper	2
Highly reducing polyketide synthase ATEG_07659	proper	proper	2
Structural maintenance of chromosomes 4-like 1 protein isoform 3-like protein	proper	proper	2
Putative dna repair protein rad5 protein	proper	proper	2
SNF2-related protein	proper	proper	2
Domain of uncharacterized function (DUF3846)	low informative	low	1
Muramidase domain-containing protein	proper	proper	2
DNA (Cytosine-5)-methyltransferase 1	proper	proper	2
Mitochondrial ATP-dependent helicase irc3	proper	proper	2
Type IIs modification methyltransferase	proper	proper	2
Dna replication factor c subunit	proper	proper	2
host cell factor	proper	proper	2
Probable type II secretion system protein	proper	proper	2
Plasmid RP4 TraN-like protein	proper	proper	2
Endopeptidase LytF	proper	proper	2
Peptidase S26B, signal peptidase	proper	proper	2
PAB8 protein	proper	proper	2
R2K_2 domain-containing protein	proper	proper	2
Putative G-D-S-L family lipolytic protein	proper	proper	2
4-Hydroxy-3-methylbut-2-enyl diphosphate reductase IspH	proper	proper	2
ERCC6	proper	proper	2
Predicted permeases	proper	proper	2
Leucine-zipper-like transcriptional regulator	proper	proper	2
Glutaminyl-tRNA synthase b subunit	proper	proper	2
VCBS repeat-containing protein	proper	proper	2
GCN5 family acetyltransferase	proper	proper	2
Tail tape measure protein, putative	proper	proper	2
Component of 9-1-1 complex	proper	proper	2
Genome sequencing data, contig C292	proper	uninformative	0
Pro-head protease	proper	proper	2
NADPH quinone reductase	proper	proper	2
Outer membrane channel for pilus assembly CpaC	proper	proper	2
PSD1 domain-containing protein	proper	proper	2
Wall-associated protein	proper	low	1
Glutathione synthase/ribosomal protein S6 d	proper	proper	2
Immunoglobulin-binding regulator A family protein	proper	proper	2
Vir region protein-like protein	proper	uninformative	0
Manganese and iron superoxide dismutase	proper	proper	2
Kelch-like 3	proper	proper	2
uncharacterized protein LOC115325222	uninformative	uninformative	0
Galactose oxidase/kelch, beta-propeller	proper	proper	2
YubD protein	proper	proper	2
Iota-carrageenase	proper	proper	2
DNA ligase I	proper	proper	2
Putative structural protein	proper	proper	2
Acetyltransferase, GNAT	proper	proper	2
Transmembrane protein 41-like protein	proper	proper	2
Carbamoyl-phosphate synthase large subunit	proper	proper	2
Sodium/hydrogen exchanger 7-like	proper	proper	2
DUF3599 domain-containing protein	low informative	low	1
Exodeoxyribonuclease V	proper	proper	2
Sporulation domain-containing protein	proper	proper	2
Tail fiber assembly protein	proper	proper	2
procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 isoform X1	proper	proper	2
KEL2 protein	proper	proper	2
Pectin lyase fold domain protein, virulence factor	proper	proper	2
SprT-like domain-containing protein	proper	proper	2
FOG: tpr repeat-protein	proper	low	1
Matrin-type domain-containing protein	proper	proper	2
Transcription termination factor 2	proper	proper	2
Mot1 helicase-like protein	proper	proper	2
VRR-NUC domain-containing protein (Modular protein)	proper	proper	2
Rab9 effector protein with kelch motif	proper	proper	2
5'-3' exonuclease, SAM domain protein	proper	proper	2
Putative RepA leader peptide Tap	proper	proper	2
Kel	proper	proper	2
Purine nucleoside phosphorylase	proper	proper	2
