protein_annotation	regex_label	manual_label	note
AAEL006489-PB	proper	uninformative	
Chromodomain-helicase-dna-binding protein 1-like	proper	proper	
Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1	proper	proper	
RNA ligase, Rnl2 family	proper	proper	
Uronate dehydrogenase	proper	proper	
Predicted metal-dependent peptidase	proper	proper	
Ribosomal protein L19	proper	proper	
Replication factor C subunit 3 (Replication factor C3) (Activator 1 40 kDa subunit)	proper	proper	
Inner kinetochore subunit MIF2 (CENP-C homolog) (Constitutive centromere-associated network protein MIF2) (Mitotic fidelity of chromosome transmission protein 2)	proper	proper	
Uncharacterized protein LOC104596878 isoform X2	proper	uninformative	
MiaB protein	proper	proper	
Rhs family protein	proper	proper	
LvrE	proper	uninformative	
Flagellar basal body protein	proper	proper	
dCMP hydroxymethylase	proper	proper	
Putative bifunctional atp sulfurylase/adenosine 5'-phosphosulfate kinase	proper	proper	
Kelch 5	proper	proper	
Tetratricopeptide (TPR) repeat protein	proper	low	
Protein NtpR	proper	proper	
Putative tail assembly chaperone	proper	proper	
Pentraxin-related protein PTX3 (Pentaxin-related protein PTX3) (Tumor necrosis factor alpha-induced protein 5) (TNF alpha-induced protein 5) (Tumor necrosis factor-inducible gene 14 protein) (TSG-14)	proper	proper	
Concanavalin A-like lectin/glucanases superfamily protein (Laminin G sub domain 2)	proper	proper	
Dynein regulatory complex subunit 7 (Coiled-coil domain-containing protein lobo homolog) (Flagellar-associated protein 50)	proper	proper	
Nitric oxide reductase (EC 1.18.1.-)	proper	proper	
Putative DNA replication protein	proper	proper	
Uncharacterized protein LOC113790245	uninformative	uninformative	
N-(sulfonatooxy)prop-2-enimidothioate sulfolyase (EC 4.8.1.8) (Thiocyanate-forming protein) (TaTFP)	proper	proper	
Glycosyl transferases group 1 family protein (EC 2.-.-.-)	proper	proper	
KLH23 protein	proper	proper	
CCA-adding enzyme (EC 2.7.7.72)	proper	proper	
Chemical-damaging agent resistance protein C (TerD family protein)	proper	proper	
Glycogen debranching protein	proper	proper	
Putative antibiotic resistance (Phosphinothricin N-acetyltransferase)	proper	proper	
Putative GMP synthase (Glutamine-hydrolyzing) (EC 6.3.5.2)	proper	proper	
26S protease regulatory subunit 6B	proper	proper	
GW domain-containing protein	proper	proper	
IPT/TIG domain protein	proper	proper	
Putative transcriptional regulator IclR family	proper	proper	
PtnL protein	proper	proper	
Sulfide dehydrogenase subunit alpha (SuDH) (EC 1.8.1.19) (Ferredoxin:NADP oxidoreductase) (FNOR) (EC 1.18.1.2)	proper	proper	
AAA domain	proper	proper	
Chromosome 18 SCAF9581, whole genome shotgun sequence	uninformative	uninformative	
Adiponectin receptor protein 1-like	proper	proper	
Mitochondrial ATP-dependent zinc metallopeptidase	proper	proper	
UPF0200 protein ENT69_00070	proper	low	
Putative bacteriophage related protein	uninformative	uninformative	
UDP-2,4-diacetamido-2,4, 6-trideoxy-beta-L-altropyranose hydrolase	proper	proper	
Collagen-like protein	proper	proper	
Zn-dependent peptidase ImmA (M78 family)	proper	proper	
dCMP deaminase, late competence protein ComEB (EC 3.5.4.12)	proper	proper	
Glutathione synthase/RimK-type ligase, ATP-grasp superfamily	proper	proper	
Gp74	uninformative	uninformative	
Putative head maturation protease	proper	proper	
ATP-dependent RNA helicase MSS116, mitochondrial (EC 3.6.4.13)	proper	proper	
Prophage LambdaSa04, DNA polymerase family protein	proper	proper	
tRNA-5-methyluridine(54) 2-sulfurtransferase (EC 2.8.1.-) (tRNA thiouridine synthetase TtuA)	proper	proper	
Ribonucleoside diphosphate reductase small subunit	proper	proper	
Maleylacetoacetate isomerase	proper	proper	
Protein N-acetyltransferase, RimJ/RimL family	proper	proper	
ATP-dependent DNA helicase	proper	proper	
Kelch-like protein 31 (Kelch repeat and BTB domain-containing protein 1) (Kelch-like protein Klhl)	proper	proper	
Anthrax toxin receptor 1 (Tumor endothelial marker 8)	proper	proper	
MukB N-terminal domain-containing protein	proper	proper	
Putative prophage MuMc02, late control gene D protein	proper	proper	
G:T/U mismatch-specific uracil/thymine DNA-glycosylase	proper	proper	
Secretory protein	proper	proper	
TPR repeat-containing thioredoxin TTL1	proper	proper	
Glutamine amidotransferases class-II	proper	proper	
Phosphopantothenatecysteine ligase	proper	proper	
NLI interacting factor	proper	proper	
SWIM zinc finger protein	proper	proper	
DnaJ-like protein subfamily B member 6-A	proper	proper	
Type VI secretion system protein VasI	proper	proper	
tRNA(Ile)-lysidine synthase (EC 6.3.4.19)	proper	proper	
CPA1 family monovalent cation:H+ antiporter	proper	proper	
Kelch repeat and BTB domain-containing protein 2	proper	proper	
ADP-ribose 1''-phosphate phophatase related protein	proper	proper	
11S globulin (12S storage protein)	proper	proper	
Putative Phthiocerol synthesis polyketide synthase type I PpsC	proper	proper	
Phage major capsid protein, HK97,Phage capsid	proper	proper	
Putative pyruvate dehydrogenase	proper	proper	
Putative Microtubule-severing ATPase (EC 3.6.4.3)	proper	proper	
LAGLIDADG DNA endonuclease family	proper	proper	
Phage Holliday junction resolvase	proper	proper	
AlpA family phage regulatory protein	proper	proper	
Type II and III secretion system protein family protein	proper	proper	
Elongator complex protein 2	proper	proper	
CysB (Transcriptional regulator CysB)	proper	proper	
Putative tail fiber-like protein	proper	proper	
Similarities with lambda tail fiber assembly protein G	proper	proper	
Anaphase-promoting complex subunit 11	proper	proper	
Probable 6-carboxy-5,6,7,8-tetrahydropterin synthase (CPH4 synthase) (EC 4.1.2.50) (Archaeosine biosynthesis protein QueD)	proper	proper	
Survival of motor neuron-related-splicing factor 30 (Survival motor neuron domain-containing protein 1)	proper	proper	
Putative tellurium resistance protein terZ (Modular protein)	proper	proper	
Bacteriophage transposase A protein	proper	proper	
HEAT domain containing protein	proper	proper	
NADH dehydrogenase, nitrite reductase (EC 1.18.1.1)	proper	proper	
Tellurium resistance protein terZ	proper	proper	
RanGAP1 interacting protein	proper	proper	
Structural maintenance of chromosomes protein 1	proper	proper	
RAD51 paralog B	proper	proper	
DDE-type integrase/transposase/recombinase	proper	proper	
GDP-mannose 3,5-epimerase (GDP-Man 3,5-epimerase) (EC 5.1.3.18)	proper	proper	
Calmodulin-interacting protein 111-like isoform X2	proper	proper	
Thoeris anti-defense 2 (Tad2)	proper	proper	
Putative Phage/plasmid primase, P4 family domain protein	proper	proper	
RecA-family ATPase-like protein	proper	proper	
ParB-like partition s domain protein	proper	proper	
Similar to S.cerevisiae protein CAB2 (Subunit of the CoA-Synthesizing Protein Complex (CoA-SPC))	proper	proper	
ATPase family associated with various cellular activities (AAA)/AAA domain (Dynein-related subfamily), putative	proper	proper	
DUF58 domain-containing protein	low informative	low	
Replication protein C	proper	proper	
Exoglucanase B	proper	proper	
GemA, modulation of host genes	proper	proper	
RecA-like N-terminal domain-containing protein	proper	proper	
Putative helicase (EC 3.6.1.-)	proper	proper	
Phage tail assembly protein	proper	proper	
COG2110, Macro domain, possibly ADP-ribose binding module	proper	proper	
Gene transfer agent associated protein Pden_3078	proper	uninformative	
K(+)/H(+) antiporter NhaP	proper	proper	
Phage portal, SPP1 Gp6-like family protein	proper	proper	
Coiled-coil domain-containing protein 110	proper	proper	
Thymidylate synthase family protein	proper	proper	
SLAM family member 5 isoform X2	proper	proper	
Putative isomerase YbhE	proper	proper	
NlpC/P60 protein	proper	proper	
GrpB family protein	proper	proper	
M28 family peptidase	proper	proper	
Zinc-binding CMP/dCMP deaminase	proper	proper	
Putative bacteriophage protein, GP46-like protein	proper	uninformative	
Ribonucleoside-diphosphate reductase subunit alpha (EC 1.17.4.1) (Ribonucleotide-diphosphate reductase subunit alpha)	proper	proper	
ATPase central domain-containing protein	proper	proper	
Generic methyltransferase	proper	proper	
Type II secretory pathway, component PulD	proper	proper	
Peptide chain release factor chloroplastic	proper	proper	
Bacteriophage TP901-1 ORF40-like protein	proper	uninformative	
Phage tail sheath gpL-like	proper	proper	
Cation/H+ exchanger domain-containing protein	proper	proper	
Thioredoxin 2	proper	proper	
Neutral zinc metallopeptidase	proper	proper	
Protein P5 (Modular protein)	proper	uninformative	
Chromosome segregation DNA-binding protein	proper	proper	
Lon N-terminal domain-containing protein	proper	proper	
GCN5-related N-acetyltransferase (EC 2.3.1.183)	proper	proper	
Crossover junction endodeoxyribonuclease ruvc (EC 3.1.22.4)	proper	proper	
Protein-serine/threonine phosphatase	proper	proper	
DEDDh 3'-5' exonuclease domain / DNA polymerase III alpha subunit (EC 2.7.7.7)	proper	proper	
Major outer capsid protein (Protein P8)	proper	proper	
Cyclically-permuted mutarotase	proper	proper	
Cytidine and deoxycytidylate deaminase zinc-binding region family protein (EC 3.5.4.12)	proper	proper	
Putative mitochondrial chaperone bcs1 protein	proper	proper	
Similar to DNA ligase acc. no. P44121	proper	proper	
Phage tail collar protein	proper	proper	
Putative transposase, ISL3 family	proper	proper	
Uncharacterized protein LOC108808085	uninformative	uninformative	
Uncharacterized protein LOC111309017 isoform X1	proper	uninformative	
Hypothetical LAGLIDADG-1 homing endonuclease	proper	proper	
Ribosomal RNA small subunit methyltransferase D (EC 2.1.1.171) (16S rRNA m2G966 methyltransferase) (rRNA (guanine-N(2)-)-methyltransferase)	proper	proper	
Secreted protein with Ig-like and vWFA domain	proper	proper	
Putative tail tubular protein	proper	proper	
Putative side tail phage protein	proper	proper	
Uncharacterized protein MG010 homolog	proper	uninformative	
E1 ubiquitin-activating enzyme (EC 6.2.1.45) (Ubiquitin-like 1-activating enzyme E1A)	proper	proper	
Domain of uncharacterized function DUF1828	low informative	low	
Procaryotic DNA polymerase I	proper	proper	
ATP-dependent helicase FUN30 (EC 3.6.4.12)	proper	proper	
Putative transcriptional regulator, IclR family protein	proper	proper	
Lipoate-protein ligase	proper	proper	
Putative Sodium/hydrogen antiporter	proper	proper	
Tellurium resistance protein terE	proper	proper	
Adenylylsulfate kinase and related kinase-like protein	proper	proper	
DUF4738 domain-containing protein	low informative	low	
F-box domain containing protein	proper	proper	
Transposase and inactivated derivatives, IS30 family	proper	proper	
DnaJ homolog subfamily C member 10	proper	proper	
Vesicle-fusing ATPase	proper	proper	
Peptide chain release factor class I/class II	proper	proper	
Lymphotoxin-beta (LT-beta) (Tumor necrosis factor C) (TNF-C) (Tumor necrosis factor ligand superfamily member 3)	proper	proper	
Sarcosine oxidase (EC 1.5.3.1)	proper	proper	
Eag0004	proper	uninformative	
DNA topoisomerase (EC 5.6.2.1) (Omega-protein) (Relaxing enzyme) (Swivelase) (Untwisting enzyme)	proper	proper	
Spore maturation protein SpmB	proper	proper	
Putative ribonucleoside diphosphate reductase	proper	proper	
NAC domain-containing protein	proper	proper	
DUF4760 domain-containing protein	low informative	low	
Ribonucleotide reductase small subunit	proper	proper	
Mycobacteriophage GP2 protein	proper	uninformative	
Excalibur calcium-binding domain-containing protein	proper	proper	
Spore germination protein YaaH	proper	proper	
SAVED domain-containing protein	proper	proper	
Helicase, ATP-dependent, intein-containing	proper	proper	
2-phytyl-1,4-naphtoquinone methyltransferase (EC 2.1.1.329) (Demethylphylloquinone methyltransferase)	proper	proper	
Lysyl-tRNA synthetase class 2 (EC 6.1.1.6)	proper	proper	
DUF3630 family protein	low informative	low	
Putative phage uncharacterized protein	uninformative	uninformative	
Phosphopantothenate-cysteine ligase	proper	proper	
Afp1	proper	proper	
Type III-B CRISPR module RAMP protein Cmr6	proper	proper	
PKD/Chitinase domain-containing protein	proper	proper	
Carcinoembryonic antigen-related cell adhesion molecule 1-like	proper	proper	
F0F1 ATP synthase subunit A (EC 3.6.3.14)	proper	proper	
Chromatin associated protein	proper	proper	
RIR2B reductase	proper	proper	
Phage terminase GpA family protein	proper	proper	
Gp6-like head-tail connector protein	proper	proper	
Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Cellular thyroid hormone-binding protein) (Prolyl 4-hydroxylase subunit beta) (p55)	proper	proper	
Phage portal protein, SPP1 Gp6	proper	proper	
DnaJ homolog subfamily B member 4	proper	proper	
Phage/plasmid primase, P4 family, C-terminal domain-containing protein	proper	proper	
RCC1 repeat-containing protein	proper	proper	
Heme O synthase	proper	proper	
Mitochondrial FtsZ2	proper	proper	
2OG-Fe(II) oxygenase (PKHD-type hydroxylase)	proper	proper	
Ogfod1	proper	proper	
Peptidoglycan-binding ATPase	proper	proper	
LysR family transcriptional regulator, hydrogen peroxide-inducible genes activator	proper	proper	
Protein BTN	proper	proper	
SepS16A protein	proper	uninformative	
Phage-related lysozyme (Muraminidase)-like protein	proper	proper	
Portal protein (Gene product 6) (gp6) (Portal vertex protein)	proper	proper	
Cell division protein CDC48AP (EC 3.6.1.3, EC 3.6.4.3)	proper	proper	
Tad secretion system secretin RcpA	proper	proper	
(Iso)eugenol O-methyltransferase (EC 2.1.1.146) (S-adenosysl-L-methionine:(Iso)eugenol O-methyltransferase) (IEMT)	proper	proper	
Leucine-zipper-like transcriptional regulator 1 isoform X2	proper	proper	
Unknown	proper	uninformative	
Ras Guanine nucleotide exchange factor F	proper	proper	
Mu-like phage gp29	proper	proper	
AGAP003832-PA	proper	proper	in the training data, this was labeled as uninformative, but there is functional information on this protein name in UniProt
Zonular occludens toxin, putative phage-related protein	proper	proper	
Uncharacterized protein AF_1796	uninformative	uninformative	
HTH-type transcriptional regulator SutR	proper	proper	
Uncharacterized protein DUF2829	low informative	low	
Flavin-binding kelch repeat F-box 1	proper	proper	
Sliding-clamp-loader large subunit AAA+ ATPase lid domain-containing protein	proper	proper	
Phage capsid protein E	proper	proper	
Tet-like 2OG-Fe(II) oxygenase domain-containing protein	proper	proper	
Fragile X mental retardation protein	proper	proper	
ATPase family AAA domain-containing protein 2 (EC 3.6.1.-) (AAA nuclear coregulator cancer-associated protein) (ANCCA)	proper	proper	
SPBc2 prophage-derived endonuclease YokF (EC 3.1.-.-)	proper	proper	
Uncharacterized protein pnxQ	uninformative	uninformative	
Putative tRNA nucleotidyltransferase	proper	proper	
Bifunctional NadR protein (EC 2.7.7.1)	proper	proper	
Peptidase, S24 family protein	proper	proper	
Tail fiber protein	proper	proper	
Putative short chain alcohol dehydrogenase (EC 1.-.-.-)	proper	proper	
Proteasome-activating nucleotidase (PAN) (Proteasomal ATPase) (Proteasome regulatory ATPase) (Proteasome regulatory particle)	proper	proper	
RimK-like ATPgrasp N-terminal domain-containing protein	proper	proper	
Phage regulatory CII family protein	proper	proper	
Spore coat assembly protein SafA	proper	proper	
DeoxyUTP pyrophosphatase	proper	proper	
Mu-like protein prophage major head subunit gpT-like protein	proper	proper	
YgjP-like metallopeptidase domain-containing protein	proper	proper	
Uncharacterized protein LOC110412471 isoform X2	proper	uninformative	
Carboxy-S-adenosyl-L-methionine synthase	proper	proper	
Ribonucleoside-diphosphate reductase, adenosylcobalamin-dependent (EC 1.17.4.1)	proper	proper	
RecD-like DNA helicase YrrC	proper	proper	
von Willebrand factor type A domain protein	proper	proper	
Vacuolar protein sorting-associated protein 4B (EC 3.6.4.6) (Suppressor of K(+) transport growth defect 1) (Protein SKD1)	proper	proper	
HEPN AbiU2-like domain-containing protein	proper	proper	
Probable serine/threonine-protein kinase DDB_G0272092	proper	proper	
QnrB1 (QnrS1)	proper	proper	
"Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)]"	proper	proper	
3',5'-cyclic AMP phosphodiesterase CpdA	proper	proper	
FAD-dependent thymidylate synthase	proper	proper	
Acetyltransferase PA2578 (EC 2.3.1.-) (GCN5-related N-acetyltransferase) (GNAT)	proper	proper	
RNA polymerase sigma24 factor	proper	proper	
Probable D-lyxose ketol-isomerase (EC 5.3.1.-)	proper	proper	
Anaphase-promoting complex subunit 10 (APC10) (Cyclosome subunit 10)	proper	proper	
Secreted protein containing LamG-like jellyroll fold	proper	proper	
Threonine synthase (EC 4.2.3.1)	proper	proper	
Uncharacterized proteins involved in stress response, homologs of TerZ and putative cAMP-binding protein CABP1	proper	proper	
Spastin (EC 5.6.1.1)	proper	proper	
Putative ATPase YjoB	proper	proper	
Peptide deformylase, DNA processing protein	proper	proper	
Capsular biosynthesis protein	proper	proper	
Uncharacterized protein LOC109480950	uninformative	uninformative	
Putative tetrahydromethanopterin biosynthesis protein	proper	proper	
Lysine-specific demethylase 7 homolog (ceKDM7A) (EC 1.14.11.-) (JmjC domain-containing protein 1.2) (PHD finger protein 8 homolog) (PHF8 homolog)	proper	proper	
sulfiredoxin (EC 1.8.98.2)	proper	proper	
Spp2/MOS2 G-patch domain-containing protein	proper	proper	
Deoxynucleotide monophosphate kinase	proper	proper	
Tetrahydroalstonine synthase	proper	proper	
FimX	proper	proper	
Phage P4-associated integrase	proper	proper	
Guanosine polyphosphate synthetase/pyrophosphohydrolase	proper	proper	
D-apiose dehydrogenase (EC 1.1.1.420)	proper	proper	
AAA_28 domain-containing protein	proper	proper	
Putative nucleotide sugar epimerase/ dehydratase	proper	proper	
Chromosome undetermined scaffold_79, whole genome shotgun sequence	uninformative	uninformative	
Dihydrofolate reductase type A10 (EC 1.5.1.3) (Dihydrofolate reductase type X) (DHFRX)	proper	proper	
WD domain G-beta repeat uncharacterized protein	proper	proper	
ADP-glyceromanno-heptose 6-epimerase	proper	proper	
Clp protease adaptor protein ClpS	proper	proper	
Large polyvalent protein-associated domain-containing protein	proper	uninformative	
Alpha-L-rhamnosidase	proper	proper	
Heat shock protein, Hsp20 family, putative	proper	proper	
Peptidase S8 and S53 subtilisin kexin sedolisin	proper	proper	
Uncharacterized protein PM1122	uninformative	uninformative	
(pine wood nematode) hypothetical protein (PDDEXK_1 domain-containing protein)	proper	proper	
Protein phosphatase (EC 3.1.3.16)	proper	proper	
ATP-dependent metallopeptidase HflB	proper	proper	
Tail completion protein	proper	proper	
Attractin-like protein 1 isoform B	proper	proper	
Erlin-2	proper	proper	
Acyl-CoA binding protein 4 isoform 3	proper	proper	
Hypoxanthine-guanine-xanthine phosphoribosyltransferase (HGPRT) (HGXPRT) (HGXPRTase) (EC 2.4.2.22) (EC 2.4.2.8)	proper	proper	
Putative DNA packaging protein GP17 (Terminase)	proper	proper	
Head completion protein gp16 (Connector protein gp16) (Gene product 16) (Gp16) (Stopper protein gp16)	proper	proper	
DNA helicase II	proper	proper	
Nucleoside-diphosphate-sugar epimerases	proper	proper	
Cysteine synthase	proper	proper	
Prophage CP4 family integrase	proper	proper	
Peptidase S8/S53 subtilisin kexin sedolisin	proper	proper	
Putative baseplate hub subunit	proper	proper	
Cell division protein CdvC, Vps4	proper	proper	
SET domain-containing protein-lysine N-methyltransferase	proper	proper	
Putative Guanosine-3',5'-bis(Diphosphate) 3'-pyrophosphohydrolase	proper	proper	
WD repeat-containing protein 53	proper	proper	
Serine/threonine protein kinase related protein	proper	proper	
Uncharacterized protein RP789	uninformative	uninformative	
Ribosomal RNA adenine methylase transferase N-terminal domain-containing protein	proper	proper	
AGAP005244-PB-like protein	proper	proper	
DUF805 domain-containing protein	low informative	low	
Baseplate assembly protein J, putative	proper	proper	
7S globulin-3	proper	proper	
Cyclic-di-GMP-binding biofilm dispersal mediator protein	proper	proper	
Phage major tail protein phi13	proper	proper	
Kelch-like 23	proper	proper	
Chaperonin CPN60-like 2	proper	proper	
DnaD domain protein	proper	proper	
"Terminase, large subunit (DNA-packaging protein) (Gene product 17) (gp17) [Includes: ATPase (EC 3.6.4.-); Endonuclease (EC 3.1.21.-)]"	proper	proper	
Xanthine-guanine phosphoribosyltransferase	proper	proper	
Sarcosine oxidase subunit beta (EC 1.5.3.24) (Sarcosine oxidase (5,10-methylenetetrahydrofolate-forming) subunit beta) (Tetrameric sarcosine oxidase subunit beta)	proper	proper	
Cyanophycin synthetase	proper	proper	
TIR protein	proper	proper	
3'-5' exonuclease	proper	proper	
Transmembrane protein 131-like N-terminal domain-containing protein	proper	proper	
Probable oxidoreductase protein	proper	proper	
ISHde5, transposase orfA	proper	proper	
Tail assembly protein	proper	proper	
DNA methyltransferase 2	proper	proper	
Proteasome subunit alpha	proper	proper	
Hydrolases of HD superfamily	proper	proper	
Putative glutamine amidotransferase Rv2859c (EC 2.4.2.-)	proper	proper	
Protein containing Excinuclease ABC, C subunit	proper	proper	
Cell division protein CDC48AP	proper	proper	
Proteasome-activating nucleotidase	proper	proper	
Spastin (EC 5.6.1.1) (Spastic paraplegia 4 protein)	proper	proper	
16 kDa heat shock protein B	proper	proper	
Phage tail fiber repeat family protein	proper	proper	
Transposase, IS605 OrfB family	proper	proper	
Glycosyl hydrolase family 20, domain 2	proper	proper	
Group II intron maturase-specific domain-containing protein	proper	proper	
Mu-like prophage FluMu I protein	proper	uninformative	
Phosphonoacetaldehyde hydrolase (Phosphonatase) (EC 3.11.1.1) (Phosphonoacetaldehyde phosphonohydrolase)	proper	proper	
Phage essential recombination function protein	proper	proper	
DUF2384 domain-containing protein	low informative	low	
Pyridoxal-5'-phosphate-dependent protein	proper	proper	
Histone acetyltransferase HPA2 (EC 2.3.1.48)	proper	proper	
Death-on-curing protein	proper	proper	
Translation initiation factor IF-2, mitochondrial	proper	proper	
Periplasmic serine protease	proper	proper	
Deacylase	proper	proper	
tRNA-dihydrouridine synthase B	proper	proper	
Transfer Agent portal protein	proper	proper	
RecA-like protein	proper	proper	
Cell divisionFtsK/SpoIIIE	proper	proper	
Collagenase ColG (EC 3.4.24.3) (Class I collagenase) (Gelatinase ColG) (Microbial collagenase)	proper	proper	
Glyceraldehyde 3-phosphate phosphatase	proper	proper	
DHHA1 domain protein	proper	proper	
Nitrile oxidoreductase, NADPH-dependent, QueF (EC 1.7.1.13)	proper	proper	
Siphovirus Gp157	proper	uninformative	
Histone acetyltransferase HPA2-like acetyltransferase (EC 2.3.-.-)	proper	proper	
Conjugal transfer protein TraA	proper	proper	
Probable fatty oxidation protein FadB	proper	proper	
Kelch like family member 32	proper	proper	
PhoH family protein (Phosphate starvation-inducible protein PhoH)	proper	proper	
Gingipain R (EC 3.4.22.37)	proper	proper	
Galactose-1-phosphate uridylyltransferase (EC 2.7.7.12)	proper	proper	
Host specificity protein J from prophage	proper	proper	
Probable bacterophage-related protein putative muramidase	proper	proper	
Sensor domain-containing diguanylate cyclase	proper	proper	
HspC2 heat shock protein	proper	proper	
Prohibitin-like protein, putative	proper	proper	
Cytidine/deoxycytidylate deaminase	proper	proper	
tetrahydrofolate synthase (EC 6.3.2.17) (Tetrahydrofolylpolyglutamate synthase)	proper	proper	
Uncharacterized protein LOC107815630	uninformative	uninformative	
DNA damage response protein A	proper	proper	
Auxin-binding protein 4	proper	proper	
DNA repair protein recA homolog 1, chloroplastic-like isoform X2	proper	proper	
Mrr restriction endonuclease-like protein	proper	proper	
Peptidase M4 domain-containing protein	proper	proper	
SLAM family member 7 isoform X6	proper	proper	
LysR family transcriptional regulator YnfL	proper	proper	
Putative transcription-binding factor	proper	proper	
DUF2130 domain-containing protein	low informative	low	
Prophage MuMc02, peptidase, family S24	proper	proper	
Endopeptidase LytF	proper	proper	
DNA transposition protein	proper	proper	
Nucleoside 2-deoxyribosyltransferase protein	proper	proper	
Bifunctional tRNA (Mnm(5)s(2)U34)-methyltransferase/FAD-dependent cmnm(5)s(2)U34 oxidoreductase	proper	proper	
Sucrose synthase (SuSyNe) (EC 2.4.1.13)	proper	proper	
Two-component system, LytT family, response regulator AlgR	proper	proper	
Transcription elongation factor SPT5 (DRB sensitivity-inducing factor large subunit) (DSIF large subunit)	proper	proper	
L-threonine dehydrogenase	proper	proper	
Tyrosine recombinase XerS	proper	proper	
Ribonuclease H1-like	proper	proper	
XerD	proper	proper	
PREDICTED: ribonuclease H At1g65750 family	proper	proper	
Gp37	uninformative	uninformative	
Phage baseplate	proper	proper	
RmlC-like cupin family protein	proper	proper	
Minor coat protein	proper	proper	
Mll3908 protein	proper	proper	
Putative terminase large subunit 2	proper	proper	
Uncharacterized protein LOC34618982	uninformative	uninformative	
Acylphosphatase-like domain-containing protein	proper	proper	
O-methyltransferase	proper	proper	
Butyrophilin subfamily 1 member A1-like	proper	proper	
Carbamoyl-phosphate synthase [ammonia], mitochondrial (EC 6.3.4.16) (Carbamoyl-phosphate synthetase I) (CPSase I)	proper	proper	
Site specific recombinase	proper	proper	
YqaJ-like viral recombinase domain protein	proper	proper	
Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase)	proper	proper	
Putative Zn-binding protein involved in type VI secretion	proper	proper	
RB133	proper	proper	
Serine/threonine protein phosphatase	proper	proper	
Ribonucleotide reductase small subunit (EC 1.17.4.1)	proper	proper	
Kelch-like 13	proper	proper	
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60)	proper	proper	
RedM	proper	proper	
K+ channel tetramerisation subfamily protein	proper	proper	
7-cyano-7-deazaguanine synthase (EC 6.3.4.20) (7-cyano-7-carbaguanine synthase) (PreQ(0) synthase) (Queuosine biosynthesis protein QueC)	proper	proper	
Zonadhesin	proper	proper	
DNA repair protein RAD51	proper	proper	
Resolvase	proper	proper	
Membrane-anchored band 7 domain protein	proper	proper	
ATP-dependent Clp protease ATP-binding subunit	proper	proper	
Putative head-tail adaptor protein	proper	proper	
Type 4 secretion system PilS N-terminal domain-containing protein	proper	proper	
Influenza virus NS1A-binding protein homolog (NS1-BP) (NS1-binding protein homolog) (Kelch family protein Nd1-L) (ND1-L2) (Nd1-S)	proper	proper	
Putative Microcystin dependent protein	proper	proper	
5-methylcytosine-specific restriction protein	proper	proper	
Multifunctional acyl-CoA thioesterase I/protease I/lysophospholipase L1 (EC 3.1.1.5, EC 3.1.2.14, EC 3.1.2.2)	proper	proper	
Putative M23 peptidase domain protein	proper	proper	
Werner Syndrome-like exonuclease	proper	proper	
Uncharacterized protein DUF3127	low informative	low	
Peptidase S24	proper	proper	
Kelch-like protein 9/13	proper	proper	
Putative 23S rRNA (Adenine(2503)-C(2))-methyltransferase	proper	proper	
Uncharacterized protein AlNc14C110G6358	uninformative	uninformative	
Phage head maturation protease	proper	proper	
ATPase related to phosphate starvation-inducible protein PhoH	proper	proper	
Hep_Hag superfamily protein	proper	uninformative	
Oxidized purine nucleoside triphosphate hydrolase (EC 3.6.1.56) (2-hydroxy-dATP diphosphatase) (7,8-dihydro-8-oxoguanine triphosphatase) (8-oxo-dGTPase) (Methylated purine nucleoside triphosphate hydrolase) (EC 3.6.1.-) (Nucleoside diphosphate-linked moiety X motif 1) (Nudix motif 1)	proper	proper	
Macro domain-containing protein in sno 5'region (Modular protein)	proper	proper	
tRNA (guanine(6)-N2)-methyltransferase (EC 2.1.1.256) (tRNA:m2G6 methyltransferase)	proper	proper	
Phosphate starvation-inducible protein PhoH	proper	proper	
Influenza virus NS1A-binding protein-A-like protein	proper	proper	
Membrane protease subunit HflC (EC 3.4.-.-)	proper	proper	
Siphovirus Gp157 family protein	proper	uninformative	
Secretin	proper	proper	
Outer membrane protein alpha	proper	proper	
Iron ABC transporter substrate-binding protein	proper	proper	
Uncharacterized protein YgiM (DUF1202 family)	low informative	low	
Spore cortex-lytic enzyme (EC 3.5.1.28)	proper	proper	
Exodeoxyribonuclease (Lambda-induced) (EC 3.1.11.3)	proper	proper	
Nucleoid-associated protein NdpA superfamily	proper	proper	
Translesion error-prone DNA polymerase V autoproteolytic subunit (EC 2.7.7.7)	proper	proper	
CvpA family protein	proper	proper	
Phage/plasmid primase, P4 family domain protein	proper	proper	
Synaptic vesicle membrane protein VAT-1 (EC 1.-.-.-)	proper	proper	
Heterokaryon incompatibility domain-containing protein	proper	proper	
Cell division protein FtsZ homolog 2-2, chloroplastic (AtFtsZ2-2) (Plastid division protein FTSZ2-2)	proper	proper	
NTP pyrophosphohydrolase	proper	proper	
Prophage LambdaMc01, DNA methyltransferase	proper	proper	
Ankyrin repeat domain-containing protein	proper	low	
